unique_id,metric,Naive,SeasonalNaive,AutoETS,AutoARIMA,AutoNBEATS,AutoNHITS,XGBRegressor,TimeGPT
hotel_0,mape,0.3649414509102426,0.32322940775375786,0.36310699232371313,0.2835521899831036,0.2777667638748781,0.24545640037227737,0.2502567427741722,0.26687974309707235
hotel_105,mape,0.058893900419106034,0.05005409586191866,0.04676887912719667,0.05778539137941653,0.08551452224642869,0.07418829928644138,0.12076585151648526,0.0584595769689251
hotel_112,mape,0.1700253195109224,0.15929491640143592,0.1454227235400514,0.11671754523827939,0.12486781854595627,0.1435640364787982,0.10075520052864066,0.13947697982734092
hotel_126,mape,0.02181232723467383,0.03156500068634013,0.02342783070626055,0.027167047877148492,0.041146598113565455,0.02427591987017742,0.07013947336157775,0.026256959993589322
hotel_133,mape,0.05916432626236883,0.06729863866680393,0.05958309846597011,0.07903611878255001,0.05530992196102824,0.0664734797814059,0.061997404602615346,0.08076838355440237
hotel_14,mape,0.23152548277887827,0.2427139780608819,0.23940410969552456,0.25978856876398404,0.22166536163952263,0.2650380041223453,0.32091985525763234,0.23451555163201174
hotel_21,mape,0.04988567360551987,0.06723705558815277,0.04760260938483511,0.04572147275116532,0.05458401130036921,0.04428691255884387,0.06177715114346561,0.05996955175818072
hotel_28,mape,1.0,1.0,1.0,5.63270258040883,1.5781870916178256,0.6799931204992614,1.214871596016609,1.3190935490439628
hotel_35,mape,0.18929817989965597,0.18654097795952024,0.18929732226038135,0.18269139519926292,0.1941554352671266,0.2221280650550557,0.2638817550769526,0.17846740523158822
hotel_42,mape,0.537462114329664,0.544138461039481,0.4845279639732903,0.37179081946738757,0.42582369456686087,0.42228410663287397,0.4014113390302419,0.44313691341241235
hotel_49,mape,0.11723923547843569,0.1227066300764362,0.10866548621760672,0.08902572236888656,0.12157806535233318,0.11462495724555108,0.14309920876944449,0.07871509586217414
hotel_56,mape,0.11581275715109324,0.12335384203828718,0.10348294074631945,0.09575413299807255,0.09384969165234923,0.08367310493689255,0.07428493512255022,0.0923395298705385
hotel_63,mape,0.3184244656474084,0.25554839977149607,0.23137194561951038,0.21824414552619198,0.16208018635770619,0.19997738482519872,0.15142165022590975,0.2198361982871399
hotel_7,mape,0.2947337606243942,0.21223097954013423,0.2945535071967916,0.19230088892103936,0.2369135765375612,0.1534148168757058,0.1590667968730596,0.16721475149872478
hotel_70,mape,0.21043287486701284,0.27686623408677086,0.5229820408522556,0.26718615497585413,0.29777068201313484,0.19099031286182983,0.2567173909015929,0.2508152316487504
hotel_84,mape,0.1658365254876079,0.1684452140344424,0.14789957011892466,0.1405871714448448,0.1357169094284701,0.138497250740332,0.09855008791324793,0.13419024719910314
hotel_91,mape,0.1028084245527802,0.10180399622462337,0.09134768686106139,0.08043770161993825,0.15121152025233722,0.11142066042315521,0.14530647303820207,0.08055309477048918
hotel_98,mape,1.8618680826875627,1.576027133747249,1.8618496211355693,1.7576660870349359,1.7049648418972068,2.093385065180066,2.235052395807509,1.5159639890571368
hotel_0,rmse,0.2414543801655888,0.2274875521263917,0.2431088509407583,0.18804770289889747,0.20368987208046785,0.16770140885050144,0.1655181891150033,0.18437252467562276
hotel_105,rmse,0.06862846871882552,0.07214728622405216,0.05135292201851126,0.06512306025066705,0.10860746150570486,0.08948500418974778,0.13262577956112867,0.07226123143280958
hotel_112,rmse,0.1610591720497364,0.15110309593645257,0.13770238470378382,0.1090635060686155,0.1177074927090341,0.13383122551876886,0.10401817445051681,0.12957356594641037
hotel_126,rmse,0.03800799101327197,0.049331036899476606,0.03845755372223289,0.038733795875854286,0.05083320337367691,0.03746609578247785,0.07916165789112214,0.039688169472866616
hotel_133,rmse,0.06734352151341028,0.0877972348298283,0.06848732352695336,0.08691150387103323,0.07217778320002496,0.07679783982909902,0.06749374874852887,0.09213217609662107
